"County Economic Status, Fiscal Year 2019",,,,,,,
FIPS,Area Name,"Three-Year Average Unemployment Rate, 2014–2016","Per Capita Market Income, 2016","Poverty Rate, 2012–2016","Three-Year Avg. Unemp. Rate, Percent of U.S. Avg., 2014–2016","Per Capita Market Income, Percent of U.S. Average, 2016","Poverty Rate, Percent of U.S. Average, 2012–2016"
,,,,,,,
 00000,United States,5.40%,"$40,679 ",15.10%,100.00%,100.00%,100.00%
 99999,Appalachian Region,6.00%,"$29,765 ",16.70%,109.90%,73.20%,110.70%
,,,,,,,
STATE TOTALS,,,,,,,
 01000,Alabama,6.30%,"$29,859 ",18.40%,115.90%,73.40%,121.80%
 13000,Georgia,6.10%,"$34,831 ",17.80%,113.00%,85.60%,117.60%
 21000,Kentucky,5.60%,"$29,389 ",18.80%,102.80%,72.20%,124.50%
 24000,Maryland,5.10%,"$49,873 ",9.90%,93.20%,122.60%,65.60%
 28000,Mississippi,6.60%,"$25,999 ",22.30%,121.20%,63.90%,147.70%
 36000,New York,5.50%,"$49,134 ",15.50%,100.80%,120.80%,102.40%
 37000,North Carolina,5.70%,"$33,871 ",16.80%,104.80%,83.30%,111.50%
 39000,Ohio,5.20%,"$35,637 ",15.40%,95.90%,87.60%,101.80%
 42000,Pennsylvania,5.50%,"$40,682 ",13.30%,101.70%,100.00%,88.20%
 45000,South Carolina,5.70%,"$30,599 ",17.20%,105.60%,75.20%,113.70%
 47000,Tennessee,5.60%,"$34,543 ",17.20%,103.70%,84.90%,114.00%
 51000,Virginia,4.60%,"$45,652 ",11.40%,84.10%,112.20%,75.70%
 54000,West Virginia,6.50%,"$25,987 ",17.70%,119.10%,63.90%,117.40%
,,,,,,,
STATE APPALACHIAN TOTALS,,,,,,,
Click on the links below to get information on that state's Appalachian Counties.,,,,,,,
 01999,Appalachian Alabama,6.00%,"$31,279 ",17.10%,110.90%,76.90%,113.10%
 13999,Appalachian Georgia,5.60%,"$31,392 ",14.60%,103.30%,77.20%,96.60%
 21999,Appalachian Kentucky,7.70%,"$19,022 ",25.90%,141.50%,46.80%,171.60%
 24999,Appalachian Maryland,6.10%,"$31,258 ",14.10%,111.40%,76.80%,93.50%
 28999,Appalachian Mississippi,6.90%,"$23,101 ",22.50%,127.20%,56.80%,148.60%
 36999,Appalachian New York,5.80%,"$28,971 ",16.70%,107.30%,71.20%,110.40%
 37999,Appalachian North Carolina,5.40%,"$28,499 ",18.10%,99.10%,70.10%,120.00%
 39999,Appalachian Ohio,6.40%,"$27,366 ",17.60%,117.60%,67.30%,116.20%
 42999,Appalachian Pennsylvania,5.90%,"$34,191 ",13.50%,108.40%,84.10%,89.10%
 45999,Appalachian South Carolina,5.30%,"$31,313 ",16.30%,96.90%,77.00%,108.10%
 47999,Appalachian Tennessee,5.90%,"$28,990 ",17.90%,107.70%,71.30%,118.30%
 51999,Appalachian Virginia,6.00%,"$24,778 ",18.80%,109.60%,60.90%,124.50%
 54999,West Virginia,6.50%,"$25,987 ",17.70%,119.10%,63.90%,117.40%
,,,,,,,
COUNTY TOTALS,,,,,,,
 01007,"Bibb County, Alabama",6.80%,"$20,191 ",16.50%,125.90%,49.60%,108.90%
 01009,"Blount County, Alabama",5.70%,"$23,186 ",16.50%,104.80%,57.00%,109.40%
 01015,"Calhoun County, Alabama",7.20%,"$24,243 ",19.60%,133.40%,59.60%,130.00%
 01017,"Chambers County, Alabama",6.10%,"$21,431 ",20.30%,112.20%,52.70%,134.40%
 01019,"Cherokee County, Alabama",5.50%,"$22,448 ",16.40%,101.10%,55.20%,108.90%
 01021,"Chilton County, Alabama",5.90%,"$23,087 ",20.30%,107.80%,56.80%,134.20%
 01027,"Clay County, Alabama",6.50%,"$23,158 ",16.70%,119.40%,56.90%,110.90%
 01029,"Cleburne County, Alabama",6.20%,"$22,422 ",19.60%,114.80%,55.10%,129.80%
 01033,"Colbert County, Alabama",7.70%,"$25,905 ",16.50%,142.50%,63.70%,109.40%
 01037,"Coosa County, Alabama",7.20%,"$19,487 ",15.30%,132.80%,47.90%,101.50%
 01043,"Cullman County, Alabama",5.50%,"$26,726 ",17.10%,100.60%,65.70%,113.30%
 01049,"DeKalb County, Alabama",6.40%,"$20,675 ",19.80%,117.40%,50.80%,131.00%
 01051,"Elmore County, Alabama",5.20%,"$30,592 ",14.30%,96.50%,75.20%,94.60%
 01055,"Etowah County, Alabama",6.40%,"$24,233 ",18.40%,117.50%,59.60%,121.60%
 01057,"Fayette County, Alabama",7.30%,"$19,250 ",17.30%,133.90%,47.30%,114.50%
 01059,"Franklin County, Alabama",6.80%,"$22,866 ",22.30%,124.30%,56.20%,147.50%
 01065,"Hale County, Alabama",8.50%,"$23,991 ",25.90%,156.50%,59.00%,171.50%
 01071,"Jackson County, Alabama",6.80%,"$24,436 ",18.80%,124.70%,60.10%,124.40%
 01073,"Jefferson County, Alabama",6.00%,"$40,439 ",18.10%,110.20%,99.40%,119.80%
 01075,"Lamar County, Alabama",6.30%,"$19,803 ",23.90%,116.40%,48.70%,157.90%
 01077,"Lauderdale County, Alabama",6.90%,"$26,299 ",18.30%,126.10%,64.70%,121.00%
 01079,"Lawrence County, Alabama",7.70%,"$21,698 ",18.30%,140.90%,53.30%,121.00%
 01083,"Limestone County, Alabama",5.60%,"$30,021 ",14.10%,103.70%,73.80%,93.30%
 01087,"Macon County, Alabama",8.30%,"$21,208 ",25.50%,152.70%,52.10%,169.00%
 01089,"Madison County, Alabama",5.60%,"$39,611 ",13.30%,103.60%,97.40%,87.80%
 01093,"Marion County, Alabama",7.20%,"$19,558 ",18.60%,132.20%,48.10%,123.30%
 01095,"Marshall County, Alabama",6.00%,"$24,603 ",20.50%,109.90%,60.50%,135.80%
 01103,"Morgan County, Alabama",6.00%,"$27,769 ",16.30%,110.70%,68.30%,107.90%
 01107,"Pickens County, Alabama",7.30%,"$19,646 ",23.90%,134.60%,48.30%,158.40%
 01111,"Randolph County, Alabama",6.10%,"$21,681 ",20.60%,112.20%,53.30%,136.10%
 01117,"Shelby County, Alabama",4.40%,"$43,772 ",8.50%,80.60%,107.60%,56.20%
 01115,"St. Clair County, Alabama",5.50%,"$26,641 ",13.70%,100.50%,65.50%,90.70%
 01121,"Talladega County, Alabama",7.00%,"$22,090 ",20.80%,129.60%,54.30%,137.60%
 01123,"Tallapoosa County, Alabama",6.40%,"$25,893 ",23.40%,117.60%,63.70%,154.60%
 01125,"Tuscaloosa County, Alabama",5.70%,"$28,098 ",18.00%,105.40%,69.10%,118.90%
 01127,"Walker County, Alabama",7.60%,"$25,445 ",21.90%,139.90%,62.50%,145.20%
 01133,"Winston County, Alabama",7.80%,"$22,657 ",20.60%,144.00%,55.70%,136.10%
 13011,"Banks County, Georgia",5.70%,"$24,927 ",15.50%,104.10%,61.30%,102.70%
 13013,"Barrow County, Georgia",5.40%,"$26,956 ",14.50%,99.60%,66.30%,95.80%
 13015,"Bartow County, Georgia",6.00%,"$27,636 ",14.80%,111.20%,67.90%,97.70%
 13045,"Carroll County, Georgia",7.00%,"$26,814 ",19.30%,128.00%,65.90%,127.50%
 13047,"Catoosa County, Georgia",5.40%,"$25,169 ",11.80%,99.20%,61.90%,78.40%
 13055,"Chattooga County, Georgia",6.70%,"$19,099 ",22.40%,122.50%,47.00%,148.30%
 13057,"Cherokee County, Georgia",4.80%,"$40,523 ",10.00%,88.20%,99.60%,66.30%
 13083,"Dade County, Georgia",5.60%,"$22,615 ",16.60%,103.30%,55.60%,109.90%
 13085,"Dawson County, Georgia",5.30%,"$32,347 ",13.40%,97.10%,79.50%,88.90%
 13097,"Douglas County, Georgia",6.40%,"$26,223 ",15.20%,117.90%,64.50%,100.70%
 13105,"Elbert County, Georgia",7.50%,"$22,189 ",19.80%,138.80%,54.50%,130.70%
 13111,"Fannin County, Georgia",6.30%,"$21,031 ",18.00%,116.60%,51.70%,119.20%
 13115,"Floyd County, Georgia",6.90%,"$26,753 ",19.80%,126.40%,65.80%,130.70%
 13117,"Forsyth County, Georgia",4.60%,"$53,832 ",6.40%,85.40%,132.30%,42.50%
 13119,"Franklin County, Georgia",6.50%,"$25,164 ",25.20%,120.30%,61.90%,167.10%
 13123,"Gilmer County, Georgia",6.30%,"$21,081 ",19.40%,116.10%,51.80%,128.70%
 13129,"Gordon County, Georgia",6.30%,"$24,526 ",20.60%,115.70%,60.30%,136.30%
 13135,"Gwinnett County, Georgia",5.30%,"$33,648 ",13.00%,97.70%,82.70%,86.20%
 13137,"Habersham County, Georgia",6.00%,"$21,983 ",18.30%,110.00%,54.00%,121.30%
 13139,"Hall County, Georgia",5.10%,"$31,864 ",17.70%,93.10%,78.30%,117.30%
 13143,"Haralson County, Georgia",6.80%,"$23,309 ",20.30%,124.30%,57.30%,134.30%
 13147,"Hart County, Georgia",6.40%,"$23,986 ",21.20%,117.20%,59.00%,140.40%
 13149,"Heard County, Georgia",6.70%,"$19,988 ",17.00%,123.70%,49.10%,112.80%
 13157,"Jackson County, Georgia",5.00%,"$29,590 ",13.50%,91.10%,72.70%,89.50%
 13187,"Lumpkin County, Georgia",5.60%,"$24,420 ",21.60%,102.20%,60.00%,143.20%
 13195,"Madison County, Georgia",5.70%,"$24,118 ",16.10%,105.60%,59.30%,106.50%
 13213,"Murray County, Georgia",7.80%,"$19,833 ",18.80%,144.40%,48.80%,124.60%
 13223,"Paulding County, Georgia",5.30%,"$28,680 ",10.70%,97.70%,70.50%,71.10%
 13227,"Pickens County, Georgia",5.60%,"$31,602 ",10.30%,103.30%,77.70%,68.00%
 13233,"Polk County, Georgia",6.80%,"$20,513 ",20.10%,126.00%,50.40%,133.30%
 13241,"Rabun County, Georgia",6.90%,"$26,429 ",21.80%,127.40%,65.00%,144.10%
 13257,"Stephens County, Georgia",6.70%,"$23,837 ",20.00%,122.90%,58.60%,132.70%
 13281,"Towns County, Georgia",7.90%,"$18,898 ",15.10%,146.00%,46.50%,99.70%
 13291,"Union County, Georgia",5.50%,"$23,868 ",13.10%,101.70%,58.70%,86.80%
 13295,"Walker County, Georgia",6.20%,"$21,584 ",18.40%,114.90%,53.10%,122.10%
 13311,"White County, Georgia",5.30%,"$22,424 ",19.30%,97.90%,55.10%,127.60%
 13313,"Whitfield County, Georgia",6.70%,"$28,803 ",19.60%,123.30%,70.80%,129.90%
 21001,"Adair County, Kentucky",7.60%,"$15,200 ",23.30%,139.70%,37.40%,154.00%
 21011,"Bath County, Kentucky",7.90%,"$17,824 ",24.50%,145.80%,43.80%,162.10%
 21013,"Bell County, Kentucky",9.20%,"$14,731 ",36.60%,169.20%,36.20%,241.90%
 21019,"Boyd County, Kentucky",7.50%,"$24,341 ",19.00%,138.40%,59.80%,125.60%
 21025,"Breathitt County, Kentucky",10.10%,"$13,592 ",33.50%,185.50%,33.40%,221.50%
 21043,"Carter County, Kentucky",10.20%,"$18,556 ",18.60%,188.50%,45.60%,123.40%
 21045,"Casey County, Kentucky",5.70%,"$15,973 ",26.40%,104.10%,39.30%,174.70%
 21049,"Clark County, Kentucky",5.40%,"$27,586 ",15.10%,98.60%,67.80%,100.00%
 21051,"Clay County, Kentucky",10.10%,"$12,393 ",41.00%,185.70%,30.50%,271.00%
 21053,"Clinton County, Kentucky",8.20%,"$14,448 ",22.40%,150.90%,35.50%,148.30%
 21057,"Cumberland County, Kentucky",6.30%,"$16,324 ",22.30%,116.70%,40.10%,147.30%
 21061,"Edmonson County, Kentucky",7.20%,"$19,487 ",21.90%,132.30%,47.90%,144.70%
 21063,"Elliott County, Kentucky",10.70%,"$11,217 ",33.90%,196.80%,27.60%,224.70%
 21065,"Estill County, Kentucky",6.40%,"$17,959 ",30.30%,118.50%,44.10%,200.60%
 21069,"Fleming County, Kentucky",6.60%,"$18,905 ",22.30%,121.70%,46.50%,147.70%
 21071,"Floyd County, Kentucky",10.10%,"$17,751 ",30.70%,185.90%,43.60%,203.20%
 21079,"Garrard County, Kentucky",5.40%,"$20,875 ",19.30%,100.20%,51.30%,127.60%
 21087,"Green County, Kentucky",5.40%,"$21,083 ",19.60%,99.30%,51.80%,129.70%
 21089,"Greenup County, Kentucky",8.30%,"$25,259 ",17.60%,152.50%,62.10%,116.20%
 21095,"Harlan County, Kentucky",12.70%,"$12,579 ",32.40%,233.70%,30.90%,214.40%
 21099,"Hart County, Kentucky",5.30%,"$22,367 ",24.20%,97.80%,55.00%,160.00%
 21109,"Jackson County, Kentucky",9.30%,"$14,471 ",33.10%,170.20%,35.60%,219.10%
 21115,"Johnson County, Kentucky",9.00%,"$18,637 ",26.20%,166.00%,45.80%,173.20%
 21119,"Knott County, Kentucky",10.80%,"$13,735 ",31.60%,198.40%,33.80%,209.00%
 21121,"Knox County, Kentucky",8.70%,"$13,931 ",34.40%,159.50%,34.20%,227.80%
 21125,"Laurel County, Kentucky",6.60%,"$22,327 ",22.80%,122.30%,54.90%,151.20%
 21127,"Lawrence County, Kentucky",9.70%,"$15,904 ",22.40%,179.30%,39.10%,148.30%
 21129,"Lee County, Kentucky",9.10%,"$13,936 ",38.40%,167.70%,34.30%,254.40%
 21131,"Leslie County, Kentucky",12.30%,"$14,117 ",32.50%,226.00%,34.70%,214.80%
 21133,"Letcher County, Kentucky",11.80%,"$14,813 ",29.80%,217.30%,36.40%,197.50%
 21135,"Lewis County, Kentucky",9.10%,"$17,396 ",28.20%,167.00%,42.80%,186.90%
 21137,"Lincoln County, Kentucky",7.20%,"$18,688 ",25.20%,132.40%,45.90%,166.70%
 21151,"Madison County, Kentucky",4.60%,"$25,146 ",21.30%,85.30%,61.80%,140.90%
 21153,"Magoffin County, Kentucky",15.80%,"$9,752 ",29.50%,290.50%,24.00%,195.40%
 21159,"Martin County, Kentucky",9.60%,"$13,831 ",32.40%,176.40%,34.00%,214.50%
 21147,"McCreary County, Kentucky",8.80%,"$10,228 ",42.50%,162.50%,25.10%,281.30%
 21165,"Menifee County, Kentucky",8.90%,"$16,485 ",24.10%,164.30%,40.50%,159.60%
 21169,"Metcalfe County, Kentucky",5.30%,"$17,514 ",22.80%,96.60%,43.10%,150.90%
 21171,"Monroe County, Kentucky",4.60%,"$19,161 ",26.10%,84.80%,47.10%,172.50%
 21173,"Montgomery County, Kentucky",6.70%,"$23,793 ",25.10%,124.10%,58.50%,166.20%
 21175,"Morgan County, Kentucky",8.50%,"$13,475 ",24.90%,155.70%,33.10%,165.10%
 21181,"Nicholas County, Kentucky",6.40%,"$20,214 ",26.00%,117.30%,49.70%,172.20%
 21189,"Owsley County, Kentucky",9.90%,"$10,616 ",37.10%,181.90%,26.10%,245.90%
 21193,"Perry County, Kentucky",9.90%,"$19,043 ",27.40%,182.20%,46.80%,181.50%
 21195,"Pike County, Kentucky",10.20%,"$19,445 ",25.20%,187.50%,47.80%,166.70%
 21197,"Powell County, Kentucky",7.50%,"$18,165 ",26.00%,137.90%,44.70%,171.90%
 21199,"Pulaski County, Kentucky",6.20%,"$22,597 ",25.00%,113.60%,55.50%,165.30%
 21201,"Robertson County, Kentucky",6.70%,"$18,384 ",24.40%,123.60%,45.20%,161.50%
 21203,"Rockcastle County, Kentucky",6.70%,"$17,359 ",23.40%,122.60%,42.70%,154.90%
